card_id,attack,defense,description
T143,5000,4600,JSONライクなドキュメントを保存するNoSQLの代表格。スキーマレスで柔軟だが自由すぎて後で泣く人も
T144,5800,3800,メモリ上で動く超高速なキーバリューストア。キャッシュやランキング処理の定番。速さの秘密は全部メモリに置く潔さ
T145,3800,3200,データベース側に保存して呼び出せる処理のまとまり。通信回数を減らせるが、ロジックがDBに散らばる欠点も
T146,3500,2800,SQL文の中に入れ子で書く問い合わせ。副問合せとも呼ばれ、試験では実行順序を問われがち。内側から評価が基本
T147,4200,3000,複数の表を結びつけて取り出す操作。内部結合と外部結合の違いは試験でも実務でも定番の引っかけポイント
T148,3300,3600,テーブルや列の構造を定義するデータベースの設計図。後から変えると大工事になるので最初が肝心
T149,2900,3900,トランザクションの変更を取り消して開始前の状態に戻す操作。データベース界のやり直し魔法だが確定後は無効
T150,3100,3800,データベースから欲しいデータを取り出す基本のSQL文。世界で最も多く実行されている文かもしれない
T151,3600,3400,データベースを管理するソフトウェアの総称。データの一貫性や同時実行や障害回復を一手に引き受ける裏方の親分
T152,3400,2600,作成・読取・更新・削除というデータ操作の基本4種。この4つが揃えばアプリの土台は完成と言われる
T153,3700,2400,オブジェクトとリレーショナルDBの橋渡し役。SQLを書かずに済むが、裏で生成される謎SQLに悩む日も来る
T154,3200,3100,サーバー不要でファイル1つで動く軽量DB。スマホアプリの中など世界中に何十億個も潜んでいる縁の下の力持ち
T155,4400,3300,商用RDBMSの巨人。大企業の基幹システムで長年君臨し、ライセンス料の高さも伝説級と語り継がれている
T156,3900,3500,分析のために大量データを蓄積する倉庫。日々の業務DBとは別に構え、経営判断の材料を掘り出す鉱山となる
T157,9800,9000,計算とは何かを定義した理論上の機械。現代コンピュータの理論的原点で、考案者チューリングは計算機科学の父
T158,8600,6200,基準値で分割を繰り返す高速整列法。平均計算量はn log nで実用ソートの王様。最悪ケースでは本気を出せない
T159,8200,6800,整列済みデータを半分ずつ絞り込む探索法。100万件でも約20回で発見。ただし整列済みが絶対条件のこだわり派
T160,8800,7600,答えの検証が速い問題は解くのも速いのかという未解決問題。賞金100万ドルだが挑む前に人生の計算量を確認しよう
T161,6000,6000,後入れ先出しのデータ構造。積んだ皿を上から取るイメージで、関数呼び出しやUndo機能の裏で今日も働いている
T162,5900,6100,先入れ先出しのデータ構造。行列に並んだ順に処理される公平な世界で、印刷ジョブやタスク管理の定番
T163,6300,5700,各節点が最大2つの子を持つ木構造。探索木やヒープの土台で、根が上で葉が下という逆さまの木がIT界の常識
T164,6700,4900,関数が自分自身を呼び出す技法。再帰を理解するにはまず再帰を理解せよという格言も。終了条件を忘れると無限の旅へ
T165,6100,5500,アルゴリズムの効率を表す記法。データ量が増えた時の計算量の伸びを示し、nの2乗と聞くと顔が曇るのが職業病
T166,5600,6300,0と1だけで数を表す記数法。コンピュータの母語であり、世の中には10種類の人間がいるというジョークの元ネタ
T167,3600,4200,隣同士を比べて交換を繰り返す整列法。泡が浮かぶように値が動く。遅いが分かりやすく入門教材として永遠に現役
T168,4500,4700,要素をポインタで数珠つなぎにするデータ構造。挿入削除は得意だが、n番目を見たければ先頭から辿るしかない
T169,5700,4300,ハッシュ関数で格納場所を即計算するデータ構造。平均すれば一発で探せる俊足だが、衝突時の身のこなしが腕の見せ所
T170,5900,4100,部分問題の答えを記録して再利用する手法。同じ計算を二度しない倹約家で、ナップサック問題の攻略にも必須
T171,5300,3400,その場その場で最善の選択を積み重ねる手法。実装は簡単だが最適解の保証はなし。目先の欲に忠実な生き方
T172,4700,4500,小数を仮数と指数で表す形式。0.1を正確に表せないため、金額計算でうっかり使うと1円ずれて青ざめる
T173,4900,4800,真偽値に対するANDやORやNOTなどの演算。全てのデジタル回路の基礎で、条件分岐の裏でも常に働く
T174,4300,5100,状態と遷移で計算をモデル化した抽象機械。正規表現の実行エンジンの正体でもあり、試験では状態遷移図で登場
T175,5400,4000,頂点と辺で関係を表す数学分野。路線図もSNSの友達関係もネットワークも、全部グラフとして料理できる
T176,4100,5300,0からFまでの16文字で数を表す記数法。2進数4桁を1文字に圧縮でき、カラーコードやメモリ表示でおなじみ
T177,2400,2200,先頭から順に一つずつ調べる探索法。単純で確実だが運が悪いと最後まで総当たり。整列不要なのが数少ない自慢
T178,2600,2000,未整列部分から最小値を選んで前に置くのを繰り返す整列法。交換回数が少ないのが地味な長所。計算量はnの2乗
T179,2800,2300,手札を並べ替える要領で正しい位置に挿していく整列法。ほぼ整列済みのデータが相手なら意外な俊足を見せる
T180,4300,3100,分割して整列済み同士を併合していく整列法。常にn log nを保証する安定派だが、作業用メモリを余分に要求する
T181,3000,3700,同じ型の要素をメモリ上に連続で並べるデータ構造。添字で一発アクセスできるが、途中への挿入は玉突き移動で大騒ぎ
T182,3800,2900,親が子より常に大きいか小さいかを保つ木構造。最大値や最小値を素早く取り出せて、優先度付きキューの中身はこれ
T183,3500,2500,近い場所から順に輪を広げて探すグラフ探索法。キューを使って層ごとに進み、最短経路探しの第一候補になる
T184,3600,2100,行ける所まで突き進み、行き止まりで引き返すグラフ探索法。スタックか再帰で書けて、迷路探索の頼れる相棒
T185,2200,1800,情報の最小単位で0か1の二択。8個集まると1バイトに昇格する。名前はbinary digitの縮約形
T186,2500,2700,引き算を足し算で済ませるための数の表現。2の補数を使えば負の数も表せて、コンピュータの引き算嫌いを解決した
T187,2300,3200,処理の流れを図形と矢印で表す図。ひし形を見たら条件分岐。設計の定番だが、現物とずれた図ほど罪深いものはない
T188,2700,2400,演算子を数値の後ろに置く記法。括弧なしで計算順が決まりスタックと相性抜群。1 2 +と書いて3になる世界
T189,3100,2600,最大公約数を割った余りで求め続ける手順。紀元前から伝わる記録上最古級のアルゴリズムで、今も現役バリバリ
T190,3300,1900,乱数を大量に使って近似解を得る手法。名前の由来はカジノの街。円周率も乱数の雨に打たれてじわじわ求まる
T191,9300,9500,フィンランドの学生の趣味から生まれサーバーもスマホも制した伝説のカーネル。世界はペンギンが支えている
T192,8200,7800,1969年にベル研究所で誕生した近代OSの始祖。哲学は小さく作って組み合わせよ。子孫は今も世界中で現役
T193,8500,7000,世界のPCを制覇したマイクロソフトのOS。青い画面は伝説の恐怖演出だったが再起動すれば大体なんとかなる
T194,8800,6500,コンピュータの頭脳にあたる中央処理装置。命令の解釈と演算を担い、クロック周波数が速さの目安になる
T195,6800,5800,アップル製のUNIX認証OS。美しいUIの下には堅実なUNIXが眠っており、ターミナルを開けば本性が現れる
T196,7200,5500,Linuxカーネルを心臓に持つグーグルのモバイルOS。世界シェア首位で緑のロボットがマスコット
T197,7000,6000,iPhoneを動かすアップルのモバイルOS。厳格な審査のApp Storeで守られた庭は今日も平和
T198,6500,6500,OSの中核としてメモリやプロセスなど資源を管理する部分。ここが落ちると全てが落ちる責任重大な存在
T199,7500,4000,画像処理のための並列演算装置。大量の単純計算が得意すぎてAI学習に大抜擢され、今や争奪戦の的である
T200,6600,4800,ユーザーの命令をカーネルに伝える対話係。名前の由来はOSを包む貝殻。黒い画面を操る姿はちょっと格好いい
T201,5500,4500,実行中のプログラムの単位で固有のメモリ空間を持つ。タスクマネージャで謎の名前を見つけて不安になる存在
T202,5800,3500,プロセス内の実行の流れでメモリを共有する軽量な単位。並行処理の主役だが競合すると厄介なバグを生む
T203,4800,5000,物理メモリより大きな空間をディスクも使って見せかける仕組み。使いすぎるとスワップ地獄で全てが遅くなる
T204,5600,4200,CPUと主記憶の速度差を埋める高速な記憶装置。よく使うデータを手元に置く発想は机の上の整理と同じ
T205,5400,4400,フラッシュメモリで読み書きする記憶装置。可動部がなく高速で静か。HDDからの換装は最高の速度体験と名高い
T206,4200,5200,ディスク上のデータをファイルとして管理する仕組み。FAT32やNTFSやext4など流派が色々ある
T207,3800,5500,電源投入直後に動きハードを初期化してOSを起動するファームウェア。近年は旧BIOSからUEFIへ世代交代した
T208,3600,5400,共有資源を同時更新から守る仕組み。ロックの順序を誤るとデッドロックが発生し、互いに譲らず永遠に待ち合う
T209,5900,2800,実行中の処理を一時中断して緊急の処理を優先させる仕組み。キー入力もマウスも割り込みで成り立っている
T210,4200,2500,CPU内部にある最速かつ極小の記憶装置。メモリ階層の頂点に立つが容量は数十個程度と超少数精鋭である
T211,3800,3000,プログラムやデータを一時的に置く主記憶装置。電源を切ると中身は消える潔い性格で、増設すると世界が変わる
T212,2800,3800,磁気ディスクを回転させて記録する記憶装置。速度ではSSDに譲るが容量単価の安さで大容量保存の砦を守る
T213,2600,4000,CPUやメモリなど全部品を接続する基板。名前の通り全パーツを支える母であり、壊れると総入れ替えの危機
T214,3400,3200,OSと周辺機器の通訳を務めるソフトウェア。これが無いと高級ハードもただの置物。相性問題は永遠のテーマ
T215,3900,2600,複数の処理を切り替えて同時実行しているように見せる技術。CPUは実は超高速な早着替えをしているだけ
T216,3500,3100,メモリを固定長のページに分割して管理する方式。不足時のページ置換アルゴリズムはLRUが試験の定番
T217,2900,3900,同時アクセス数を管理する同期の仕組み。由来は鉄道の腕木式信号機。PV操作という呪文で資源を守る
T218,3200,3300,低速な印刷などをディスク経由にしてCPUを待たせない技術。プリンタ渋滞の裏で働く縁の下の力持ち
T219,3600,2900,電源投入後にOSをメモリへ読み込んで起動させるプログラム。GRUBが有名でOS選択画面の司会も務める
T220,3300,3400,UNIX系OSの裏側で常駐して働くプログラム。悪魔ではなく守護霊的な存在で、名前の末尾のdが目印
T221,3100,2700,UNIX系で定時実行を担うスケジューラ。設定ファイルの5つの数字を読み違えて深夜に実行される事故は定番
T222,4000,2200,周辺機器接続の統一規格。どんな機器も同じ口で繋がる革命児だが、挿す向きを三回間違えるのはお約束だった
T223,8600,7200,アプリを環境ごと箱詰めして運ぶコンテナ技術の代名詞。私の環境では動くのにという言い訳を過去のものにした
T224,8400,7600,大量のコンテナを自動配置・自動回復させる指揮者。ギリシャ語で操舵手の意。略称K8sは8文字省略の意
T225,8000,8000,Amazonの通販を支えた技術から生まれた世界最大のクラウド。障害が起きるとネットの半分が沈黙する
T226,7100,6200,ネット経由で計算資源を必要な分だけ使う利用形態。サーバーは雲の上ではなくどこかのデータセンターにある
T227,7300,4900,サーバー管理を意識せずコードだけ書けば動く実行モデル。サーバーが無いわけではなく見えないだけである
T228,6900,5300,アプリを小さな独立サービス群に分割する設計手法。柔軟に育つが分割しすぎると分散システムの闇が待つ
T229,6400,6100,世界中に配置したサーバーからコンテンツを近距離配信する仕組み。動画もゲームも裏でこれが汗をかいている
T230,5700,6400,アクセスを複数サーバーへ振り分ける交通整理役。一台に負荷が集中しないよう見守る現場監督である
T231,5200,4800,サーバーやネットワークなどインフラをネット越しに借りるサービス。OSから上は自分で面倒を見る形態
T232,5000,4600,アプリの実行環境まで用意してくれるサービス。開発者はコードに集中できるがカスタマイズの自由は少なめ
T233,5300,4300,ソフトウェアを買わずにネット経由で使うサービス形態。メールも会計も今や借りる時代。更新作業からの解放
T234,5100,4100,インフラ構成をコードで記述して自動構築する手法。手作業の温もりを捨てた代わりに再現性という安心を得た
T235,3400,5500,自社内にサーバーを設置して運用する形態。クラウド時代でも機密や規制の砦として健在。電気代とは友達
T236,5700,3300,負荷の増大に応じて性能を拡張できる能力。サーバー強化のスケールアップと台数追加のスケールアウトがある
T237,3300,5400,機器や回線を多重化して一部が壊れても止まらないようにする設計。無駄に見える予備こそが可用性の要である
T238,5600,3900,負荷に応じてサーバー台数を自動で増減する仕組み。深夜は縮んで朝に増える。まるで呼吸するインフラ
T239,5400,4000,クラウドの構成をコードで定義するIaCツールの代表格。planで差分を見てapplyで反映が作法
T240,3700,3500,一台の物理マシン上でソフト的に再現された別のコンピュータ。中の人は自分が仮想だと気づいていない
T241,3600,3600,物理マシン上で複数の仮想マシンを動かす制御ソフト。VMwareやKVMが有名。仮想世界の大家さん
